Iteration no.,Time (microseconds),Comment
0,11620.20,
1,827.50,
2,422.90,
3,873.30,
4,438.80,
5,165.60,
6,756.90,gold
7,648.80,
8,125.70,
9,154.00,
10,121.90,
11,147.10,
12,7208.10,reset
13,161.60,
14,162.90,
15,186.50,
16,171.10,
17,175.70,
18,167.20,
19,210.00,gold
20,157.80,
21,126.20,
22,145.90,
23,117.60,
24,174.50,
25,152.70,
26,135.60,
27,378.40,reset
28,171.50,
29,163.80,
30,191.10,
31,213.90,
32,169.40,
33,152.70,
34,186.80,gold
35,177.40,
36,135.60,
37,244.20,
38,137.20,
39,161.20,
40,136.80,
41,196.30,
42,298.50,reset
43,284.40,
44,162.50,
45,200.20,
46,521.30,
47,169.00,
48,203.50,
49,233.50,gold
50,177.90,
51,322.90,
52,278.40,
53,223.20,
54,327.50,
55,312.20,
56,218.90,
57,397.30,reset
58,316.50,
59,163.30,
60,177.40,
61,160.00,
62,228.80,
63,216.40,
64,191.20,gold
65,202.70,
66,201.00,
67,145.80,
68,136.40,
69,153.10,
70,363.10,
71,161.60,
72,260.10,reset
73,187.30,
74,173.20,
75,158.60,
76,139.80,
77,163.80,
78,158.20,
79,219.00,gold
80,180.90,
81,147.10,
82,537.60,
83,123.60,
84,168.10,
85,166.30,
86,182.10,
87,305.40,reset
88,184.30,
89,333.50,
90,281.40,
91,148.40,
92,319.40,
93,163.80,
94,218.10,gold
95,422.10,
96,299.80,
97,145.40,
98,145.40,
99,181.80,
100,140.30,
101,247.60,
102,268.10,reset
103,183.90,
104,166.70,
105,196.70,
106,248.40,
107,242.50,
108,147.50,
109,226.60,gold
110,201.90,
111,159.60,
112,175.30,
113,162.50,
114,216.40,
115,485.80,
116,174.10,
117,297.20,reset
118,191.20,
119,316.00,
120,275.00,
121,172.80,
122,186.50,
123,173.60,
124,233.50,gold
125,190.30,
126,192.00,
127,172.40,
128,163.80,
129,174.00,
130,145.00,
131,307.90,
132,295.10,reset
133,200.50,
134,195.00,
135,175.80,
136,144.60,
137,227.50,
138,272.40,
139,271.60,gold
140,197.10,
141,197.20,
142,255.70,
143,191.10,
144,257.40,
145,132.10,
146,162.50,
147,290.80,reset
148,143.30,
149,247.60,
150,277.60,
151,171.10,
152,202.30,
153,239.00,
154,234.40,gold
155,182.60,
156,146.70,
157,171.10,
158,135.50,
159,162.10,
160,121.00,
161,157.40,
162,779.60,reset
163,136.90,
164,148.40,
165,183.90,
166,160.40,
167,197.60,
168,295.90,
169,337.40,gold
170,264.30,
171,137.70,
172,178.30,
173,151.00,
174,379.70,
175,141.20,
176,185.60,
177,290.40,reset
178,181.30,
179,173.60,
180,312.60,
181,162.00,
182,200.60,
183,160.40,
184,229.70,gold
185,181.30,
186,145.80,
187,221.60,
188,139.40,
189,158.20,
190,289.10,
191,163.40,
192,387.40,reset
193,188.10,
194,163.80,
195,183.00,
196,157.80,
197,411.80,
198,269.00,
199,214.30,gold
200,174.40,
201,137.30,
202,166.40,
203,137.30,
204,257.90,
205,131.30,
206,274.10,
207,286.50,reset
208,178.30,
209,187.30,
210,196.70,
211,163.40,
212,202.70,
213,141.20,
214,222.40,gold
215,174.90,
216,485.80,
217,224.90,
218,136.00,
219,160.00,
220,139.80,
221,219.40,
222,285.30,reset
223,207.00,
224,175.80,
225,183.00,
226,154.00,
227,188.60,
228,169.80,
229,360.50,gold
230,171.50,
231,139.90,
232,157.40,
233,164.60,
234,261.70,
235,119.30,
236,147.10,
237,507.60,reset
238,117.20,
239,141.60,
240,196.80,
241,162.90,
242,186.00,
243,201.90,
244,672.70,gold
245,187.40,
246,146.70,
247,174.50,
248,145.80,
249,167.20,
250,143.70,
251,182.10,
252,268.10,reset
253,156.10,
254,146.30,
255,263.40,
256,522.10,
257,428.50,
258,319.90,
259,250.60,gold
260,326.30,
261,135.20,
262,227.10,
263,481.60,
264,148.80,
265,125.80,
266,148.40,
267,260.40,reset
268,164.20,
269,123.20,
270,161.60,
271,139.00,
272,174.90,
273,164.20,
274,705.20,gold
275,174.10,
276,221.90,
277,258.70,
278,118.10,
279,144.60,
280,137.70,
281,331.00,
282,420.00,reset
283,176.20,
284,162.50,
285,185.20,
286,166.40,
287,365.20,
288,286.60,
289,234.80,gold
290,181.70,
291,164.70,
292,166.40,
293,135.10,
294,160.40,
295,153.50,
296,157.40,
297,278.40,reset
298,177.90,
299,418.70,
300,447.80,
301,159.90,
302,180.00,
303,169.40,
304,215.50,gold
305,177.50,
306,173.20,
307,179.60,
308,159.10,
309,166.80,
310,148.00,
311,440.10,
312,301.90,reset
313,186.00,
314,144.60,
315,167.30,
316,147.90,
317,490.50,
318,148.80,
319,333.60,gold
320,169.00,
321,125.30,
322,389.10,
323,241.60,
324,169.80,
325,152.70,
326,166.40,
327,387.00,reset
328,176.70,
329,314.80,
330,202.70,
331,182.60,
332,190.30,
333,174.50,
334,343.40,gold
335,186.40,
336,99.70,
337,154.40,
338,88.10,
339,118.00,
340,111.70,
341,244.20,
342,274.60,reset
343,174.90,
344,165.10,
345,198.00,
346,266.00,
347,160.80,
348,139.00,
349,202.70,gold
350,495.70,
351,276.70,
352,152.30,
353,125.30,
354,154.90,
355,397.80,
356,398.60,
357,584.10,reset
358,190.70,
359,462.30,
360,190.70,
361,163.00,
362,186.50,
363,332.20,
364,237.70,gold
365,153.50,
366,147.10,
367,138.90,
368,313.40,
369,281.80,
370,234.80,
371,222.00,
372,343.00,reset
