Iteration no.,Time (microseconds),Comment
0,14365.30,
1,869.00,
2,424.20,
3,575.20,
4,153.90,
5,116.30,
6,1809.00,gold
7,637.70,
8,111.60,
9,139.00,
10,108.70,
11,128.70,
12,1037.90,reset
13,150.50,
14,366.90,
15,153.90,
16,143.20,
17,152.70,
18,134.70,
19,180.50,gold
20,137.70,
21,117.60,
22,139.00,
23,109.10,
24,118.80,
25,227.50,reset
26,186.50,
27,104.80,
28,542.70,
29,136.50,
30,148.00,
31,139.00,
32,176.20,gold
33,101.00,
34,121.90,
35,103.90,
36,120.20,
37,167.60,
38,240.30,reset
39,147.60,
40,122.80,
41,146.20,
42,148.40,
43,119.80,
44,149.70,
45,183.40,gold
46,141.20,
47,188.60,
48,189.00,
49,120.60,
50,147.10,
51,275.40,reset
52,168.50,
53,140.30,
54,180.90,
55,154.80,
56,165.90,
57,150.10,
58,196.70,gold
59,165.50,
60,89.80,
61,158.20,
62,168.50,
63,146.30,
64,261.30,reset
65,172.80,
66,139.90,
67,142.00,
68,98.30,
69,200.10,
70,126.60,
71,197.20,gold
72,148.40,
73,119.40,
74,134.70,
75,111.20,
76,133.00,
77,242.50,reset
78,113.80,
79,124.40,
80,150.10,
81,154.00,
82,166.40,
83,146.20,
84,205.30,gold
85,391.70,
86,122.70,
87,151.40,
88,127.90,
89,151.40,
90,269.80,reset
91,151.90,
92,125.30,
93,147.10,
94,130.90,
95,163.00,
96,128.30,
97,172.40,gold
98,147.10,
99,114.60,
100,134.70,
101,81.30,
102,181.80,
103,241.60,reset
104,192.50,
105,120.10,
106,245.90,
107,187.30,
108,148.00,
109,136.40,
110,173.20,gold
111,143.70,
112,106.50,
113,244.70,
114,115.00,
115,144.10,
116,265.10,reset
117,165.90,
118,144.60,
119,189.40,
120,417.40,
121,178.80,
122,143.70,
123,228.40,gold
124,162.00,
125,126.20,
126,165.10,
127,132.60,
128,167.60,
129,196.70,reset
130,149.70,
131,137.70,
132,145.40,
133,134.70,
134,195.40,
135,164.60,
136,155.70,gold
137,139.80,
138,112.40,
139,163.80,
140,136.00,
141,170.70,
142,375.40,reset
143,295.50,
144,127.10,
145,322.10,
146,455.50,
147,144.60,
148,130.40,
149,176.60,gold
150,102.20,
151,120.20,
152,135.10,
153,113.30,
154,172.40,
155,232.60,reset
156,156.60,
157,127.40,
158,396.00,
159,382.30,
160,160.80,
161,137.30,
162,183.00,gold
163,143.70,
164,115.90,
165,130.40,
166,323.70,
167,130.50,
168,235.70,reset
169,269.00,
170,145.40,
171,174.10,
172,146.30,
173,155.70,
174,352.00,
175,319.50,gold
176,150.90,
177,120.10,
178,136.00,
179,110.80,
180,144.60,
181,240.30,reset
182,153.10,
183,135.20,
184,209.50,
185,137.30,
186,176.60,
187,127.90,
188,179.60,gold
189,122.30,
190,116.70,
191,143.70,
192,109.00,
193,109.50,
194,743.70,reset
195,185.60,
196,110.40,
197,152.20,
198,157.80,
199,184.30,
200,121.90,
201,178.80,gold
202,301.50,
203,112.00,
204,142.90,
205,111.20,
206,118.00,
207,587.20,reset
208,145.80,
209,127.40,
210,147.50,
211,129.20,
212,155.30,
213,134.30,
214,582.90,gold
215,115.50,
216,109.90,
217,141.10,
218,107.80,
219,136.40,
220,234.40,reset
221,147.60,
222,325.90,
223,150.10,
224,145.90,
225,149.60,
226,162.90,
227,225.80,gold
228,159.90,
229,108.60,
230,266.80,
231,109.10,
232,130.00,
233,248.00,reset
234,147.90,
235,113.30,
236,141.50,
237,146.70,
238,146.70,
239,434.10,
240,181.30,gold
241,149.20,
242,178.30,
243,96.30,
244,107.30,
245,134.30,
246,402.00,reset
247,154.80,
248,92.80,
249,341.30,
250,134.70,
251,183.90,
252,156.10,
253,220.20,gold
254,300.70,
255,105.60,
256,135.10,
257,110.40,
258,135.10,
259,435.40,reset
260,139.00,
261,124.00,
262,388.30,
263,134.30,
264,150.10,
265,138.60,
266,195.40,gold
267,165.50,
268,112.90,
269,163.30,
270,174.50,
271,141.50,
272,245.90,reset
273,160.80,
274,127.90,
275,158.70,
276,148.00,
277,143.70,
278,134.30,
279,180.50,gold
280,144.10,
281,109.90,
282,181.30,
283,138.50,
284,139.40,
285,232.20,reset
286,155.20,
287,127.40,
288,152.70,
289,134.70,
290,243.30,
291,112.10,
292,124.90,gold
293,125.70,
294,112.90,
295,130.90,
296,103.50,
297,402.40,
298,243.40,reset
299,106.50,
300,126.10,
301,148.00,
302,134.70,
303,105.60,
304,137.80,
305,177.90,gold
306,243.70,
307,116.30,
308,143.20,
309,113.30,
310,131.80,
311,233.10,reset
312,169.80,
313,97.50,
314,146.70,
315,142.00,
316,162.90,
317,141.90,
318,215.10,gold
319,155.70,
320,178.80,
321,151.00,
322,130.40,
323,161.20,
324,278.90,reset
