Iteration no.,Time (microseconds),Comment
0,155972.40,
1,919.40,
2,363.10,
3,1071.70,
4,71.00,
5,86.40,
6,545.30,gold
7,360.90,
8,54.30,
9,105.60,
10,70.10,
11,91.10,
12,825.30,reset
13,76.50,
14,69.30,
15,78.20,
16,62.90,
17,121.00,
18,63.80,
19,174.00,gold
20,73.20,
21,56.00,
22,76.10,
23,54.30,
24,84.30,
25,141.20,reset
26,87.70,
27,59.50,
28,83.00,
29,74.00,
30,78.70,
31,66.30,
32,91.10,gold
33,67.60,
34,119.70,
35,73.10,
36,69.30,
37,629.00,
38,190.70,reset
39,98.30,
40,58.20,
41,78.70,
42,69.70,
43,77.40,
44,60.70,
45,91.10,gold
46,73.50,
47,59.80,
48,94.00,
49,61.60,
50,69.30,
51,122.30,reset
52,116.70,
53,77.00,
54,76.10,
55,87.20,
56,80.80,
57,60.70,
58,93.60,gold
59,71.00,
60,64.60,
61,68.40,
62,62.40,
63,66.30,
64,176.60,reset
65,72.30,
66,60.80,
67,75.70,
68,64.10,
69,80.90,
70,71.00,
71,83.40,gold
72,69.30,
73,62.00,
74,68.40,
75,55.20,
76,68.00,
77,125.80,reset
78,129.10,
79,59.10,
80,71.00,
81,88.10,
82,67.50,
83,431.10,
84,93.70,gold
85,67.60,
86,54.70,
87,72.20,
88,57.70,
89,70.50,
90,130.90,reset
91,69.30,
92,142.40,
93,83.80,
94,75.70,
95,72.70,
96,63.30,
97,88.50,gold
98,74.40,
99,55.20,
100,63.70,
101,58.50,
102,68.00,
103,174.90,reset
104,94.90,
105,62.50,
106,72.20,
107,62.80,
108,76.50,
109,65.00,
110,90.70,gold
111,96.60,
112,53.90,
113,77.90,
114,57.80,
115,71.90,
116,133.80,reset
117,80.40,
118,63.30,
119,106.10,
120,67.20,
121,79.10,
122,69.20,
123,87.20,gold
124,66.30,
125,53.90,
126,70.60,
127,57.30,
128,75.30,
129,161.60,reset
130,627.40,
131,60.70,
132,69.30,
133,83.90,
134,97.10,
135,67.60,
136,88.10,gold
137,91.90,
138,59.90,
139,84.70,
140,63.20,
141,75.30,
142,134.70,reset
143,74.40,
144,62.80,
145,71.90,
146,74.00,
147,110.30,
148,68.90,
149,95.00,gold
150,104.80,
151,52.10,
152,66.70,
153,53.50,
154,93.20,
155,123.20,reset
156,75.70,
157,62.00,
158,74.40,
159,75.20,
160,99.70,
161,86.80,
162,95.00,gold
163,76.90,
164,52.60,
165,66.70,
166,56.10,
167,67.60,
168,155.20,reset
169,78.30,
170,83.00,
171,78.70,
172,64.20,
173,74.90,
174,69.70,
175,148.00,gold
176,70.20,
177,61.20,
178,67.60,
179,62.00,
180,62.90,
181,128.80,reset
182,72.20,
183,73.20,
184,79.50,
185,71.90,
186,76.10,
187,87.20,
188,103.90,gold
189,192.00,
190,72.70,
191,74.90,
192,57.30,
193,67.50,
194,313.00,reset
195,77.90,
196,64.60,
197,67.10,
198,63.70,
199,74.00,
200,64.20,
201,82.20,gold
202,76.10,
203,77.40,
204,68.80,
205,56.40,
206,65.00,
207,135.90,reset
208,68.90,
209,61.20,
210,74.00,
211,86.80,
212,69.70,
213,71.00,
214,102.20,gold
215,95.80,
216,56.90,
217,68.40,
218,55.60,
219,66.20,
220,236.90,reset
221,79.10,
222,70.90,
223,472.50,
224,69.30,
225,68.40,
226,78.70,
227,94.10,gold
228,88.50,
229,60.30,
230,63.70,
231,54.30,
232,72.30,
233,249.30,reset
234,81.70,
235,60.70,
236,68.00,
237,65.00,
238,88.90,
239,150.50,
240,92.00,gold
241,70.10,
242,54.70,
243,79.90,
244,62.80,
245,64.20,
246,134.80,reset
247,82.10,
248,61.20,
249,85.50,
250,63.30,
251,74.90,
252,65.40,
253,81.70,gold
254,71.00,
255,91.10,
256,148.40,
257,74.40,
258,71.00,
259,124.00,reset
260,74.00,
261,58.20,
262,72.30,
263,65.00,
264,69.70,
265,62.50,
266,204.40,gold
267,67.60,
268,70.10,
269,83.40,
270,691.90,
271,163.70,
272,125.70,reset
273,70.10,
274,68.40,
275,92.80,
276,68.40,
277,69.30,
278,59.00,
279,86.00,gold
280,71.40,
281,64.10,
282,64.60,
283,64.60,
284,74.00,
285,128.30,reset
286,70.20,
287,59.90,
288,70.50,
289,68.40,
290,80.40,
291,87.20,
292,115.10,gold
293,68.50,
294,62.90,
295,128.30,
296,57.70,
297,65.40,
298,122.70,reset
299,70.50,
300,88.10,
301,74.90,
302,66.30,
303,73.60,
304,153.50,
305,86.00,gold
306,67.50,
307,63.80,
308,83.40,
309,57.70,
310,63.30,
311,133.50,reset
312,69.70,
313,58.20,
314,77.00,
315,99.20,
316,424.70,
317,62.00,
318,92.80,gold
319,80.40,
320,59.90,
321,83.90,
322,59.00,
323,83.00,
324,128.70,reset
