Iteration no.,Time (microseconds),Comment
0,17531.70,
1,863.90,
2,414.80,
3,798.00,
4,196.30,
5,144.10,
6,716.30,gold
7,644.40,
8,118.00,
9,142.90,
10,129.50,
11,155.70,
12,1161.10,reset
13,180.10,
14,133.00,
15,163.00,
16,158.30,
17,158.70,
18,267.30,
19,194.50,gold
20,156.90,
21,153.50,
22,168.90,
23,147.90,
24,148.80,
25,241.60,reset
26,163.00,
27,214.20,
28,383.20,
29,153.50,
30,165.10,
31,140.70,
32,255.80,gold
33,148.80,
34,115.90,
35,245.10,
36,206.10,
37,178.70,
38,405.50,reset
39,157.40,
40,239.10,
41,207.40,
42,148.40,
43,164.30,
44,141.60,
45,366.90,gold
46,212.20,
47,124.90,
48,142.00,
49,118.00,
50,151.80,
51,248.90,reset
52,225.80,
53,134.70,
54,155.70,
55,149.70,
56,218.10,
57,141.10,
58,189.40,gold
59,162.10,
60,118.90,
61,178.80,
62,116.70,
63,409.70,
64,238.70,reset
65,382.70,
66,146.60,
67,159.00,
68,146.20,
69,119.30,
70,139.90,
71,224.60,gold
72,373.30,
73,151.00,
74,143.70,
75,114.20,
76,125.80,
77,229.20,reset
78,162.90,
79,122.80,
80,173.70,
81,150.50,
82,156.10,
83,176.60,
84,217.20,gold
85,170.20,
86,114.60,
87,146.30,
88,126.10,
89,147.10,
90,255.30,reset
91,170.20,
92,444.30,
93,163.70,
94,189.50,
95,124.90,
96,135.60,
97,361.40,gold
98,179.20,
99,111.60,
100,162.10,
101,133.80,
102,163.30,
103,260.00,reset
104,185.60,
105,146.70,
106,156.10,
107,144.50,
108,166.80,
109,140.70,
110,198.90,gold
111,150.60,
112,118.50,
113,307.50,
114,118.10,
115,141.50,
116,238.70,reset
117,156.50,
118,170.60,
119,154.40,
120,181.80,
121,196.30,
122,145.00,
123,419.50,gold
124,172.30,
125,136.40,
126,161.70,
127,169.40,
128,135.60,
129,237.80,reset
130,172.00,
131,230.90,
132,157.40,
133,152.70,
134,161.20,
135,240.80,
136,198.00,gold
137,151.80,
138,121.00,
139,159.00,
140,114.60,
141,250.60,
142,518.30,reset
143,172.80,
144,132.20,
145,165.50,
146,183.10,
147,184.30,
148,143.70,
149,201.80,gold
150,167.70,
151,207.80,
152,173.70,
153,135.20,
154,162.10,
155,263.80,reset
156,159.90,
157,130.00,
158,234.40,
159,145.80,
160,127.00,
161,137.20,
162,196.70,gold
163,197.60,
164,86.40,
165,160.30,
166,133.90,
167,161.60,
168,264.30,reset
169,183.40,
170,148.00,
171,175.70,
172,276.70,
173,120.60,
174,142.90,
175,258.30,gold
176,154.80,
177,120.20,
178,139.40,
179,121.10,
180,144.60,
181,411.00,reset
182,153.10,
183,132.10,
184,134.30,
185,152.30,
186,162.10,
187,144.10,
188,193.30,gold
189,153.10,
190,84.70,
191,143.30,
192,112.10,
193,145.00,
194,242.40,reset
195,155.20,
196,133.40,
197,279.70,
198,144.50,
199,158.20,
200,176.60,
201,267.30,gold
202,144.50,
203,121.10,
204,141.60,
205,115.90,
206,179.60,
207,208.70,reset
208,160.00,
209,130.80,
210,110.30,
211,148.90,
212,160.30,
213,138.90,
214,192.80,gold
215,148.00,
216,117.20,
217,192.00,
218,121.80,
219,172.80,
220,303.70,reset
221,284.80,
222,132.60,
223,186.10,
224,260.80,
225,177.10,
226,143.60,
227,190.30,gold
228,265.10,
229,116.40,
230,142.00,
231,128.30,
232,154.80,
233,266.40,reset
234,168.50,
235,135.90,
236,176.60,
237,144.20,
238,168.10,
239,138.90,
240,189.90,gold
241,154.90,
242,122.70,
243,138.50,
244,95.30,
245,166.80,
246,294.60,reset
247,161.20,
248,97.50,
249,192.90,
250,180.90,
251,189.90,
252,136.90,
253,195.40,gold
254,151.40,
255,119.30,
256,140.30,
257,118.10,
258,136.90,
259,242.00,reset
260,156.10,
261,221.10,
262,159.10,
263,146.70,
264,159.90,
265,169.30,
266,228.80,gold
267,153.50,
268,123.20,
269,251.50,
270,137.70,
271,272.00,
272,420.80,reset
273,372.10,
274,152.20,
275,164.30,
276,165.50,
277,164.20,
278,142.40,
279,189.90,gold
280,153.50,
281,139.80,
282,168.50,
283,141.10,
284,163.30,
285,272.40,reset
286,164.70,
287,131.80,
288,198.90,
289,148.40,
290,285.70,
291,139.80,
292,193.30,gold
293,132.20,
294,118.90,
295,160.80,
296,119.70,
297,136.40,
298,247.20,reset
299,207.00,
300,133.40,
301,161.70,
302,146.30,
303,270.70,
304,156.10,
305,197.50,gold
306,156.90,
307,125.70,
308,124.90,
309,146.70,
310,174.90,
311,233.90,reset
312,207.00,
313,142.80,
314,207.90,
315,130.40,
316,291.70,
317,191.60,
318,217.70,gold
319,172.30,
320,129.10,
321,158.20,
322,129.10,
323,214.70,
324,263.40,reset
